time,h_min,d_min,trajectory_error,pos_ee_x,pos_ee_y,pos_ee_z,vel_ee_x,vel_ee_y,vel_ee_z,v_rel_min,scaling
1763636823.700832605,-0.754351842,0.744627192,0.000000000,-0.032921348,-0.112574044,1.367479261,0.000000000,0.000000000,0.000000000,-1.778553346,1.000000000,
1763636823.702761650,-0.580097821,0.742465848,0.000016262,-0.032929113,-0.112574352,1.367476140,-0.007764822,-0.000308666,-0.003121445,-1.581436237,0.999998973,
1763636823.704504013,-0.553266781,0.742407203,0.000064532,-0.032952251,-0.112575383,1.367466691,-0.015373361,-0.000722536,-0.006326937,-1.555507055,0.999996869,
1763636823.706900597,-0.527008425,0.742364393,0.000143988,-0.032990500,-0.112577279,1.367450767,-0.022876287,-0.001172702,-0.009597238,-1.529582667,0.999993746,
1763636823.708543539,-0.501352973,0.742337400,0.000254021,-0.033043641,-0.112580104,1.367428263,-0.030264619,-0.001651998,-0.012906013,-1.503712971,0.999989656,
1763636823.710841656,-0.476243842,0.742325823,0.000394032,-0.033111436,-0.112583910,1.367399124,-0.037531103,-0.002154595,-0.016232493,-1.477843032,0.999984643,
1763636823.712730408,-0.451758068,0.742329810,0.000563430,-0.033193637,-0.112588741,1.367363331,-0.044669677,-0.002675763,-0.019560239,-1.452082948,0.999978750,
1763636823.714991570,-0.427816773,0.742348870,0.000761626,-0.033289982,-0.112594629,1.367320894,-0.051675383,-0.003211581,-0.022876359,-1.426350534,0.999972015,
1763636823.717031002,-0.404392313,0.742382740,0.000988029,-0.033400201,-0.112601599,1.367271846,-0.058543816,-0.003758847,-0.026170594,-1.400625438,0.999964477,
1763636823.719196081,-0.380865627,0.742429251,0.001242048,-0.033524015,-0.112609673,1.367216240,-0.065270973,-0.004314907,-0.029434763,-1.374117924,0.999956171,
1763636823.721151829,-0.358541435,0.742492573,0.001523083,-0.033661137,-0.112618867,1.367154143,-0.071851408,-0.004877938,-0.032661313,-1.348529679,0.999947133,
1763636823.723158836,-0.336748196,0.742570199,0.001830526,-0.033811271,-0.112629191,1.367085635,-0.078283184,-0.005445482,-0.035846038,-1.323016639,0.999937398,
1763636823.724908590,-0.314394771,0.742737488,0.002163765,-0.033974116,-0.112640652,1.367010804,-0.084562690,-0.006015877,-0.038984604,-1.296123137,0.999927004,
1763636823.726992846,-0.289048742,0.743154404,0.002522173,-0.034149360,-0.112653257,1.366929751,-0.090681705,-0.006588083,-0.042066817,-1.264493234,0.999915993,
1763636823.729345322,-0.264230940,0.743586908,0.002905074,-0.034336660,-0.112667007,1.366842616,-0.096618519,-0.007162083,-0.045067375,-1.232843644,0.999904411,
1763636823.731222391,-0.239922715,0.744034864,0.003311742,-0.034535641,-0.112681906,1.366749564,-0.102363115,-0.007736032,-0.047983433,-1.201172515,0.999892306,
1763636823.733130455,-0.216171318,0.744497112,0.003741409,-0.034745907,-0.112697951,1.366650769,-0.107903523,-0.008308133,-0.050811349,-1.169572589,0.999879731,
1763636823.735683680,-0.192973437,0.744973164,0.004193261,-0.034967035,-0.112715136,1.366546410,-0.113225747,-0.008876523,-0.053546765,-1.138071126,0.999866745,
1763636823.737569332,-0.170266095,0.745463445,0.004666425,-0.035198573,-0.112733452,1.366436678,-0.118312962,-0.009439261,-0.056184192,-1.106613630,0.999853415,
1763636823.739752293,-0.147920024,0.745969514,0.005159961,-0.035440030,-0.112752887,1.366321776,-0.123144189,-0.009994293,-0.058716367,-1.075050853,0.999839818,
1763636823.741920471,-0.125634189,0.746495969,0.005672840,-0.035690865,-0.112773421,1.366201926,-0.127692155,-0.010539383,-0.061133287,-1.042981426,0.999826052,
1763636823.744253159,-0.104799518,0.747018512,0.006203914,-0.035950475,-0.112795033,1.366077371,-0.131918428,-0.011071997,-0.063419973,-1.012497155,0.999812207,
1763636823.746452570,-0.083190596,0.747574415,0.006751912,-0.036218189,-0.112817694,1.365948382,-0.135795426,-0.011588452,-0.065568723,-0.980383352,0.999798439,
1763636823.748506308,-0.062864979,0.748127100,0.007315381,-0.036493233,-0.112841368,1.365815264,-0.139249316,-0.012085283,-0.067548608,-0.949763028,0.999784894,
1763636823.750300407,-0.042956824,0.748690297,0.007892634,-0.036774707,-0.112866011,1.365678373,-0.142225767,-0.012557271,-0.069341252,-0.919450015,0.999771776,
1763636823.752029896,-0.023499797,0.749262023,0.008481719,-0.037061567,-0.112891567,1.365538120,-0.144634465,-0.012998287,-0.070911937,-0.889613680,0.999759352,
1763636823.754196405,-0.004359516,0.749843140,0.009080304,-0.037352557,-0.112917966,1.365394993,-0.146355744,-0.013400284,-0.072214548,-0.860202142,0.999747986,
1763636823.756147861,0.018936305,0.750430756,0.009685531,-0.037646133,-0.112945119,1.365249595,-0.147220412,-0.013752241,-0.073183303,-0.831490500,0.999738153,
1763636823.758246660,0.043382377,0.751161449,0.010293835,-0.037940362,-0.112972911,1.365102679,-0.147008720,-0.014039765,-0.073732846,-0.813672118,0.999730084,
1763636823.760138273,0.062840716,0.752086543,0.010901185,-0.038233051,-0.113001214,1.364955112,-0.145680250,-0.014262805,-0.073834262,-0.803301718,0.999723634,
1763636823.762460947,0.082080730,0.753019719,0.011503832,-0.038522152,-0.113029910,1.364807732,-0.143421430,-0.014433110,-0.073546733,-0.793764765,0.999718928,
1763636823.764509916,0.100966771,0.753954566,0.012098413,-0.038805822,-0.113058892,1.364661300,-0.140247639,-0.014549328,-0.072885206,-0.785130034,0.999716076,
1763636823.766360044,0.119565106,0.754891687,0.012681633,-0.039082250,-0.113088052,1.364516550,-0.136180283,-0.014610529,-0.071866026,-0.777334918,0.999715190,
1763636823.768415928,0.137634130,0.755820726,0.013250273,-0.039349668,-0.113117278,1.364374183,-0.131237036,-0.014615846,-0.070502636,-0.770514364,0.999716355,
1763636823.770334005,0.155630915,0.756756284,0.013801205,-0.039606352,-0.113146458,1.364234869,-0.125446911,-0.014565060,-0.068812572,-0.764352741,0.999719692,
1763636823.772413731,0.173359659,0.757689922,0.014331368,-0.039850616,-0.113175479,1.364099255,-0.118816091,-0.014457124,-0.066802413,-0.758964978,0.999725302,
1763636823.774437189,0.190804658,0.758619499,0.014837745,-0.040080793,-0.113204227,1.363967972,-0.111359971,-0.014291412,-0.064482469,-0.754345408,0.999733282,
1763636823.777140141,0.208035818,0.759546026,0.015317379,-0.040295248,-0.113232585,1.363841628,-0.103094334,-0.014067378,-0.061862817,-0.750433712,0.999743736,
1763636823.779424906,0.225053627,0.760468068,0.015767369,-0.040492374,-0.113260436,1.363720815,-0.094031134,-0.013784311,-0.058951642,-0.747216917,0.999756762,
1763636823.781653404,0.241856155,0.761384112,0.016184857,-0.040670589,-0.113287661,1.363606108,-0.084181948,-0.013441468,-0.055756856,-0.744684225,0.999772461,
