time,human_keypoint_0_x,human_keypoint_0_y,human_keypoint_0_z,human_keypoint_1_x,human_keypoint_1_y,human_keypoint_1_z,human_keypoint_2_x,human_keypoint_2_y,human_keypoint_2_z,human_keypoint_3_x,human_keypoint_3_y,human_keypoint_3_z,human_keypoint_4_x,human_keypoint_4_y,human_keypoint_4_z,human_keypoint_5_x,human_keypoint_5_y,human_keypoint_5_z,human_keypoint_6_x,human_keypoint_6_y,human_keypoint_6_z,human_keypoint_7_x,human_keypoint_7_y,human_keypoint_7_z,human_keypoint_8_x,human_keypoint_8_y,human_keypoint_8_z,human_keypoint_9_x,human_keypoint_9_y,human_keypoint_9_z,human_keypoint_10_x,human_keypoint_10_y,human_keypoint_10_z,human_keypoint_11_x,human_keypoint_11_y,human_keypoint_11_z,human_keypoint_12_x,human_keypoint_12_y,human_keypoint_12_z,human_keypoint_13_x,human_keypoint_13_y,human_keypoint_13_z,human_keypoint_14_x,human_keypoint_14_y,human_keypoint_14_z,human_keypoint_15_x,human_keypoint_15_y,human_keypoint_15_z,human_keypoint_16_x,human_keypoint_16_y,human_keypoint_16_z,human_keypoint_17_x,human_keypoint_17_y,human_keypoint_17_z,human_keypoint_18_x,human_keypoint_18_y,human_keypoint_18_z,human_keypoint_19_x,human_keypoint_19_y,human_keypoint_19_z,
1763636823.701052904,1.181719712,-0.231250373,1.656038708,0.917024833,-0.411081526,0.720285826,0.888184701,-0.552287088,0.352544777,0.809287662,-0.419310819,1.200120580,0.833004552,-0.315228329,0.767682172,0.829918955,-0.526919182,0.434130269,1.167335471,-0.270978067,1.696926558,1.148664800,-0.211869397,1.700641200,1.094480913,-0.353215100,1.687743151,1.041580587,-0.185740586,1.698268408,0.108000000,-0.883000000,2.351000000,0.980462736,-0.347355849,1.588789128,0.108000000,-0.883000000,2.351000000,1.115350664,-0.345928843,1.555734287,1.150596436,-0.464130829,1.362900273,1.151856109,-0.482763353,1.143594481,0.845574772,-0.348782854,1.621843892,0.739208025,-0.427022712,1.434876634,0.636128437,-0.413915968,1.240849544,0.954035404,-0.423666746,1.163765162,
1763636823.702908754,1.188663752,-0.220563462,1.660760973,0.948279335,-0.388832623,0.712042931,0.927553772,-0.485814757,0.330110082,0.817889695,-0.399252798,1.190974132,0.848217112,-0.284346915,0.761697088,0.842463363,-0.457981973,0.407069231,1.173135358,-0.260633645,1.701072157,1.155024778,-0.201254188,1.705120809,1.099737222,-0.341958370,1.689289604,1.048423816,-0.173716708,1.700761370,0.108000000,-0.883000000,2.351000000,0.988145751,-0.334642918,1.587681314,0.108000000,-0.883000000,2.351000000,1.123789162,-0.337684675,1.556437226,1.157482404,-0.455490713,1.364836600,1.161164397,-0.473158723,1.146905091,0.852502309,-0.331601242,1.618925395,0.744100622,-0.406658213,1.433626613,0.641564653,-0.395877619,1.240775889,0.964715600,-0.410097406,1.156561419,
1763636823.704659462,1.189224348,-0.219577050,1.661090863,0.950748992,-0.387337646,0.711410044,0.931174352,-0.480230312,0.328519340,0.818664305,-0.397611685,1.190206593,0.849322017,-0.281793302,0.761212201,0.843438624,-0.451914098,0.404988662,1.173608093,-0.259685808,1.701347422,1.155530181,-0.200287784,1.705434037,1.100189464,-0.340947082,1.689325510,1.048968627,-0.172652819,1.700904825,0.108000000,-0.883000000,2.351000000,0.988789232,-0.333554859,1.587468272,0.108000000,-0.883000000,2.351000000,1.124494089,-0.336936870,1.556370160,1.158089872,-0.454721950,1.364864164,1.161974482,-0.472333215,1.147033258,0.853084339,-0.330172932,1.618566381,0.744564604,-0.404968111,1.433360580,0.642088805,-0.394335705,1.240584267,0.965660782,-0.408959349,1.155944482,
1763636823.707014799,1.189785979,-0.218588815,1.661421363,0.953223211,-0.385839907,0.710775988,0.934801621,-0.474635548,0.326925659,0.819440345,-0.395967540,1.189437636,0.850428962,-0.279234971,0.760726418,0.844415686,-0.445835012,0.402904249,1.174081702,-0.258736220,1.701623196,1.156036517,-0.199319595,1.705747844,1.100642541,-0.339933927,1.689361482,1.049514445,-0.171586964,1.701048545,0.108000000,-0.883000000,2.351000000,0.989433903,-0.332464791,1.587254836,0.108000000,-0.883000000,2.351000000,1.125200319,-0.336187683,1.556302971,1.158698462,-0.453951766,1.364891779,1.162786063,-0.471506181,1.147161663,0.853667444,-0.328741984,1.618206703,0.745029443,-0.403274886,1.433094056,0.642613925,-0.392790942,1.240392291,0.966607711,-0.407819188,1.155326405,
1763636823.708652973,1.190347287,-0.217601149,1.661751672,0.955696005,-0.384343032,0.710142297,0.938426800,-0.469044010,0.325332897,0.820215939,-0.394324343,1.188669122,0.851535270,-0.276678114,0.760240915,0.845392185,-0.439759429,0.400821037,1.174555038,-0.257787180,1.701898811,1.156542561,-0.198351964,1.706061471,1.101095357,-0.338921355,1.689397433,1.050059948,-0.170521724,1.701192182,0.108000000,-0.883000000,2.351000000,0.990078202,-0.331375350,1.587041523,0.108000000,-0.883000000,2.351000000,1.125906141,-0.335438928,1.556235821,1.159306702,-0.453182026,1.364919378,1.163597177,-0.470679624,1.147289993,0.854250212,-0.327311860,1.617847233,0.745494014,-0.401582637,1.432827685,0.643138742,-0.391247070,1.240200425,0.967554093,-0.406679685,1.154708685,
1763636823.710946798,1.190909890,-0.216611205,1.662082744,0.958174502,-0.382842704,0.709507145,0.942060341,-0.463439574,0.323736460,0.820993321,-0.392677355,1.187898836,0.852644129,-0.274115360,0.759754293,0.846370936,-0.433669833,0.398733020,1.175029466,-0.256835950,1.702175061,1.157049773,-0.197382101,1.706375821,1.101549218,-0.337906447,1.689433468,1.050606709,-0.169454027,1.701336150,0.108000000,-0.883000000,2.351000000,0.990723987,-0.330283396,1.586827719,0.108000000,-0.883000000,2.351000000,1.126613592,-0.334688446,1.556168515,1.159916344,-0.452410510,1.364947041,1.164410162,-0.469851160,1.147418619,0.854834325,-0.325878437,1.617486934,0.745959657,-0.399886484,1.432560700,0.643664770,-0.389699637,1.240008117,0.968502659,-0.405537553,1.154089539,
1763636823.712838173,1.191470745,-0.215624337,1.662412786,0.960645299,-0.381347036,0.708873966,0.945682593,-0.457852549,0.322144984,0.821768288,-0.391035484,1.187130942,0.853749544,-0.271560568,0.759269182,0.847346647,-0.427599155,0.396651490,1.175502420,-0.255887676,1.702450454,1.157555409,-0.196415251,1.706689194,1.102001668,-0.336894693,1.689469390,1.051151772,-0.168389646,1.701479671,0.108000000,-0.883000000,2.351000000,0.991367766,-0.329194835,1.586614578,0.108000000,-0.883000000,2.351000000,1.127318845,-0.333940296,1.556101419,1.160524093,-0.451641392,1.364974618,1.165220621,-0.469025271,1.147546846,0.855416624,-0.324449468,1.617127754,0.746423853,-0.398195601,1.432294544,0.644189163,-0.388157010,1.239816406,0.969448278,-0.404398970,1.153472317,
1763636823.715204000,1.192032247,-0.214636330,1.662743210,0.963118948,-0.379849643,0.708240056,0.949309026,-0.452259075,0.320551670,0.822544150,-0.389391719,1.186362162,0.854856234,-0.269002826,0.758783511,0.848323484,-0.421521471,0.394567557,1.175975920,-0.254938307,1.702726164,1.158061628,-0.195447285,1.707002929,1.102454641,-0.335881771,1.689505354,1.051697464,-0.167324038,1.701623358,0.108000000,-0.883000000,2.351000000,0.992012287,-0.328105018,1.586401192,0.108000000,-0.883000000,2.351000000,1.128024912,-0.333191282,1.556034245,1.161132543,-0.450871385,1.365002226,1.166032015,-0.468198428,1.147675221,0.855999594,-0.323018849,1.616768159,0.746888585,-0.396502767,1.432028081,0.644714162,-0.386612604,1.239624475,0.970394988,-0.403259072,1.152854383,
1763636823.717140436,1.192595044,-0.213646044,1.663074396,0.965598300,-0.378348797,0.707604685,0.952943821,-0.446652705,0.318954683,0.823321800,-0.387744162,1.185591610,0.855965476,-0.266439187,0.758296720,0.849302573,-0.415429773,0.392478820,1.176450511,-0.253986749,1.703002510,1.158569015,-0.194477087,1.707317387,1.102908658,-0.334866513,1.689541401,1.052244414,-0.166255972,1.701767376,0.108000000,-0.883000000,2.351000000,0.992658295,-0.327012687,1.586187313,0.108000000,-0.883000000,2.351000000,1.128732607,-0.332440541,1.555966917,1.161742396,-0.450099603,1.365029898,1.166845281,-0.467369678,1.147803891,0.856583909,-0.321584932,1.616407735,0.747354388,-0.394806029,1.431761003,0.645240371,-0.385064636,1.239432100,0.971343881,-0.402116547,1.152235024,
1763636823.719308376,1.193181339,-0.212614411,1.663419409,0.968181173,-0.376785286,0.706942785,0.956730379,-0.440812252,0.317291017,0.824131920,-0.386027816,1.184788885,0.857121032,-0.263768509,0.757789605,0.850322542,-0.409083728,0.390302871,1.176944918,-0.252995460,1.703290394,1.159097587,-0.193466380,1.707644975,1.103381632,-0.333808865,1.689578953,1.052814201,-0.165143311,1.701917407,0.108000000,-0.883000000,2.351000000,0.993331276,-0.325874749,1.585964505,0.108000000,-0.883000000,2.351000000,1.129469850,-0.331658454,1.555896777,1.162377712,-0.449295597,1.365058726,1.167692502,-0.466506326,1.147937934,0.857192620,-0.320091145,1.616032263,0.747839640,-0.393038447,1.431482774,0.645788552,-0.383452036,1.239231694,0.972332394,-0.400926317,1.151589805,
