ID,lambda_0_pos,lambda_0_vel,lambda_0_acc,lambda_0_scaling,gamma_0,delta_0_deg,lambda_f_pos,lambda_f_vel,lambda_f_acc,lambda_f_scaling,gamma_f,delta_f_deg,n_pos,n_vel,n_acc,n_scaling,n_gamma,n_delta,m_pos,m_vel,m_acc,m_scaling,m_gamma,m_delta,w_pos,w_vel,w_acc,w_scaling,w_gamma,w_delta
4999,100.293527223501,8.14414542354115,1.99247167800979E-08,29523.5188395122,16.6704077122214,14.5062016522534,216242.753881698,18.3335877443969,1.046587702772E-10,121.861136791938,1.67151138833294,0.118647330864724,6.77630138772705E-07,5.63233744737005E-07,2.83553828549583E-07,2.75870674364684E-09,0.000112453725918637,2.02602089118194E-07,1.48806774932628,1.13054860465782,2.57073498386359,4.2439845008579,1.73241639816987,8.70051624454079,0.781109704770025,7.01317625835851E-06,0.000703360964919,2.11676717447282E-06,0.000128684934120353,1.21236807056332E-09
4845,100.293527223501,8.14414542354115,1.99247167800979E-08,22.1096526886266,4.04001336628841,14.5062016522534,65367.4164328406,18.4621689514595,4.44874149869838E-10,18718.0017413093,3.47377097206594,14.6304576369825,6.77630138772705E-07,5.63233744737005E-07,5.85439961881979E-08,6.48468427294893E-09,9.18031190584911E-06,2.02602089118194E-07,1.48806774932628,1.13054860465782,9.5901322433659,7.13029680964278,1.73241639816987,1.08300183957809,0.781109704770025,0.000476291441089439,2.12285898441427E-08,2.11676717447282E-06,2.95909826476812E-05,0.0466923932840558
4789,100.293527223501,8.26857995175326,1.99247167800979E-08,22.1096526886266,4.04001336628841,18.7419198792189,216242.753881698,18.4621689514595,1.3643599011942E-12,19384.157328,0.148203164532864,0.713819951160113,6.03127791204001E-07,1.55675172773111E-09,5.85439961881979E-08,6.48468427294893E-09,0.000112453725918637,2.02602089118194E-07,1.43928571345782,3.15295490789651,7.58443990799955,7.13029680964278,1.73241639816987,8.70051624454079,0.781109704770025,1.46388506270544E-07,0.000703360964919,0.000152043992351582,0.522090258585247,3.53415084816897E-09
4780,162273.269491388,80.5962125499572,1.06344053436049E-15,25.7755673668741,16.6704077122214,5.659311689366,215.046488879609,18.4621689514595,1.046587702772E-10,121.861136791938,3.47377097206594,14.6304576369825,0.000619422296000412,1.55675172773111E-09,2.83553828549583E-07,6.48468427294893E-09,0.000112453725918637,0.00373998169940734,1.43928571345782,1.20259246139888,7.58443990799955,2.01356268271968,7.08018254887577,9.13548992404016,0.185119466239179,1.28964523245283E-08,0.0435362560527766,8.36011265935215E-08,2.95909826476812E-05,0.0466923932840558
4706,100.293527223501,8.14414542354115,6.24771968170415E-09,25.7755673668741,16.6704077122214,0.44643948691645,216242.753881698,18.4621689514595,1.3643599011942E-12,18718.0017413093,0.585364899494802,0.118647330864724,6.77630138772705E-07,5.63233744737005E-07,1.08030084522671E-08,6.48468427294893E-09,0.000112453725918637,2.02602089118194E-07,1.48806774932628,1.13054860465782,2.57073498386359,2.13273764872318,4.59358753604893,8.70051624454079,0.185119466239179,7.01317625835851E-06,1.40939266175541E-07,0.000152043992351582,0.522090258585247,0.0466923932840558
4630,210483.795673574,8.14414542354115,6.24771968170415E-09,25.7755673668741,16.6704077122214,4.42355549456427,65367.4164328406,18.4621689514595,1.046587702772E-10,62686.3590441962,0.585364899494802,0.118647330864724,0.0178574131993465,1.55675172773111E-09,2.66646942734865E-08,6.48468427294893E-09,0.000112453725918637,2.02602089118194E-07,1.48806774932628,3.15295490789651,7.12539755795379,1.01738527579282,4.59358753604893,8.70051624454079,0.781109704770025,1.46388506270544E-07,0.000703360964919,0.000152043992351582,2.95909826476812E-05,0.0466923932840558
4558,100.293527223501,8.26857995175326,1.99247167800979E-08,22.1096526886266,4.04001336628841,18.7419198792189,65367.4164328406,18.4621689514595,1.3643599011942E-12,62686.3590441962,3.47377097206594,0.118647330864724,6.77630138772705E-07,5.63233744737005E-07,5.85439961881979E-08,6.48468427294893E-09,0.332405556138552,2.02602089118194E-07,1.48806774932628,3.15295490789651,7.58443990799955,1.01738527579282,1.73241639816987,8.70051624454079,0.781109704770025,1.46388506270544E-07,0.000703360964919,0.000152043992351582,0.522090258585247,0.000181424142224539
761,1638.96956129226,13.2510324716077,8.31200803879025E-08,23.9162595261789,15.6132204043048,2.79187674333045,844831.770530289,18.0018596623767,2.80787012550383E-12,147.136837825013,5.26725893948142,0.133038848425364,1.48778562929392E-08,5.63233744737005E-07,5.72599852386057E-05,2.053581547625E-09,0.650965615429526,2.30092697708105E-06,1.31279038452208,1.7043515627139,7.58160981718067,1.35875136525305,1.5110090769992,8.93063306580173,5.96677617810597E-07,6.32376757352427E-05,0.000305409717194969,3.86048898552367E-08,0.0893979350695602,1.55764808535624E-08
0,1083.99773222392,0.0194635691085866,9.68437093344639E-08,88.9208010759841,9.65158685267311,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3083_no_delta,4641.40720423666,2.30836184719163,1.28141316020985E-14,35.7824163329907,13.7650606369821,4.5,203473.48359142,3.44604995337871,6.21130946954509E-15,103.116902873003,0.621350062407139,0,0.00236017471576909,0.000205365090661172,1.39037336449905E-09,0.229825548045866,0.00222737720476767,0,2.0424164385609,1.8368769689382,3.46582150568196,6.02249195985568,2.02696770602968,0,0.201564759424301,1.12812412997922E-08,0.00034781632682321,2.33214927854294E-08,5.49803197892921E-05,0
