number,values_0,values_1,params_delta_deg,params_gamma,state
0,0.0364,0.13735511089692073,4.987577419831065,4.570407781571332,COMPLETE
1,0.0414,0.12752586428335735,4.90603882262541,4.715870445571903,COMPLETE
2,0.0418,0.1344410079497524,4.9672238643661695,4.66053194811452,COMPLETE
3,0.0336,0.13578849280049796,4.957610471816843,5.257924203532899,COMPLETE
4,0.0458,0.13930350103819097,4.999562876085722,5.140635111498321,COMPLETE
5,0.0366,0.14079108371946894,4.9165859479474,4.7198473039735145,COMPLETE
6,0.0314,0.1385596737159427,4.993212350355876,4.63180438306059,COMPLETE
7,0.036,0.13791034307305608,4.954555595711187,5.297163885606126,COMPLETE
8,0.0454,0.14597667106256912,4.915539587648137,5.154118677865747,COMPLETE
9,0.0364,0.13448510132138494,4.974018664282292,4.828781178833779,COMPLETE
